repo_id,repo_owner,repo_name,created_at,project_size,num_forks,num_stars,default_branch,last_update,is_archived,repo_url,teammate
132600378,apache,myfaces,2018-05-08T11:41:08Z,72884,71,120,main,2025-02-07T14:16:20Z,FALSE,https://github.com/apache/myfaces,helen
64458355,apache,twill,2016-07-29T07:00:06Z,13155,70,69,master,2024-12-23T23:50:51Z,TRUE,https://github.com/apache/twill,joseph
33397227,apache,incubator-myriad,2015-04-04T07:00:05Z,11984,68,154,master,2024-11-28T16:30:55Z,FALSE,https://github.com/apache/incubator-myriad,junlong
121366401,apache,cordova,2018-02-13T10:02:11Z,772,68,648,master,2025-02-13T17:27:38Z,FALSE,https://github.com/apache/cordova,simmon
206633,apache,shindig,2009-05-21T08:41:05Z,19236,68,66,trunk,2024-03-25T09:06:29Z,TRUE,https://github.com/apache/shindig,sophie
47246083,apache,brooklyn,2015-12-02T08:00:06Z,793,67,139,master,2025-02-07T08:11:42Z,FALSE,https://github.com/apache/brooklyn,helen
23907761,apache,johnzon,2014-09-11T07:00:06Z,3414,66,53,master,2025-01-15T11:47:11Z,FALSE,https://github.com/apache/johnzon,joseph
164497122,apache,incubator-baremaps,2019-01-07T21:16:01Z,59744,66,526,main,2025-02-10T19:54:10Z,FALSE,https://github.com/apache/incubator-baremaps,helen2
15895714,apache,datafu,2014-01-14T08:00:07Z,30426,65,120,main,2025-01-24T20:33:56Z,FALSE,https://github.com/apache/datafu,junlong
123152853,apache,incubator-nemo,2018-02-27T15:59:11Z,117375,64,112,master,2024-11-21T07:33:01Z,FALSE,https://github.com/apache/incubator-nemo,sophie
49258459,apache,incubator-s2graph,2016-01-08T08:00:06Z,14439,64,269,master,2024-09-06T09:22:00Z,TRUE,https://github.com/apache/incubator-s2graph,helen
4748416,apache,manifoldcf,2012-06-22T07:00:16Z,164613,64,77,trunk,2025-02-08T06:55:53Z,FALSE,https://github.com/apache/manifoldcf,simmon
54701096,apache,joshua,2016-03-25T07:00:06Z,362742,63,106,master,2025-01-04T10:07:54Z,TRUE,https://github.com/apache/joshua,joseph
54953350,apache,mnemonic,2016-03-29T07:00:06Z,3240,63,120,master,2025-01-07T17:20:49Z,FALSE,https://github.com/apache/mnemonic,junlong
270479,apache,xmlbeans,2009-08-06T08:06:50Z,66677,63,54,trunk,2025-02-12T00:08:44Z,FALSE,https://github.com/apache/xmlbeans,simmon
56214719,apache,incubator-retired-quickstep,2016-04-14T07:00:07Z,12007,63,94,master,2024-07-08T11:08:56Z,TRUE,https://github.com/apache/incubator-retired-quickstep,helen2
1302095,apache,openwebbeans,2011-01-28T08:00:11Z,24872,61,68,main,2025-02-11T14:10:08Z,FALSE,https://github.com/apache/openwebbeans,sophie
56214716,apache,phoenix-omid,2016-04-14T07:00:06Z,5155,60,88,master,2025-01-09T06:43:29Z,FALSE,https://github.com/apache/phoenix-omid,helen
206451,apache,ode,2009-05-21T02:41:15Z,21659,60,44,master,2024-10-15T10:33:32Z,TRUE,https://github.com/apache/ode,joseph
7728562,apache,oodt,2013-01-21T08:00:15Z,342509,60,63,master,2024-10-08T10:35:26Z,TRUE,https://github.com/apache/oodt,junlong
165292138,apache,incubator-datalab,2019-01-11T18:39:39Z,254461,58,153,master,2024-04-02T17:43:52Z,TRUE,https://github.com/apache/incubator-datalab,simmon
832679,apache,whirr,2010-08-12T03:32:41Z,9902,58,93,trunk,2023-12-08T19:43:22Z,TRUE,https://github.com/apache/whirr,sophie
206346,apache,synapse,2009-05-21T01:01:59Z,45244,57,72,master,2025-01-02T03:24:26Z,FALSE,https://github.com/apache/synapse,helen
4544260,apache,any23,2012-06-04T07:00:25Z,40003,55,95,master,2024-08-23T01:58:32Z,TRUE,https://github.com/apache/any23,joseph
1644192,apache,ftpserver,2011-04-21T07:00:07Z,10137,54,79,trunk,2024-10-27T12:45:16Z,FALSE,https://github.com/apache/ftpserver,junlong
